Item,Make,Model,Quantity,Price Per,Extended Price,Supplier,URL,Notes,Tracking #
Plastic Canvas,Darice,12pkx3,1,$24.95,$24.95,Amazon,https://www.amazon.com/Darice-Plastic-Canvas-Clear-12-Pack/dp/B06XS2QDHJ/ref=pd_lpo_vtph_201_bs_tr_t_1?_encoding=UTF8&refRID=8006GJEPVK3R5RY3EB7Z&th=1,,
9DoF,SparkFun,SEN-13944,1,$13.46,$13.46,SparkFun,https://www.sparkfun.com/products/13944,,
µC,Arduino,Nanox10,1,$35.99,$35.99,Amazon,https://www.amazon.com/Controller-MACTISICAL-Upgraded-ATMEGA328P-Arduino/dp/B076HPMQXD/ref=sr_1_14?ie=UTF8&qid=1510619090&sr=8-14&keywords=arduino+pro+mini,,
Sound Detector,SparkFun,SEN-12642,1,$10.95,$10.95,SparkFun,https://www.sparkfun.com/products/12642,,
OpenLog,SparkFun,DEV-13712,1,$13.46,$13.46,SparkFun,https://www.sparkfun.com/products/13712,,
µSD Cards,SanDisk,8 GB,2,$7.30,$14.60,Amazon,https://www.amazon.com/SanDisk-microSD-High-Capacity-microSDHC/dp/B00488G6P8/ref=sr_1_3?s=electronics&ie=UTF8&qid=1510619325&sr=1-3&keywords=8+gb+micro+sd,,
Chamber Connectors,Amphenol,10070158-00419XLF,1,$18.95,$18.95,Digi-Key,https://www.digikey.com/product-detail/en/amphenol-fci/10070158-00419XLF/609-3152-ND/1859882,,
Plate Connectors,Amphenol,10070165-00119ALF,1,$1.70,$1.70,Digi-Key,https://www.digikey.com/product-detail/en/amphenol-fci/10070165-00119ALF/609-3155-ND/1859887,,
Plywood,SFI,"2'x2'x1/2"" ",1,$11.59,$11.59,Menards,https://www.menards.com/main/building-materials/panel-products/hardwood-panels/2-x-2-birch-plywood-handi-panel/1254004/building-materials/panel-products/hardwood-panels/1-2-x-2-x-2-birch-plywood-handi-panel/1254062/p-1444441906833.htm,,
Speaker,Tectonic Elements,"TEBM65C20F-8 3-1/2""",1,$14.39,$14.39,Amazon,https://www.amazon.com/gp/product/B009S291H4/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1,,
Flathead Screws,Midwest Fastener,"1/4""-20x6""",1,$3.98,$3.98,Menards,https://www.menards.com/main/hardware/fasteners-connectors/screws/machine-screws/midwest-fastener-reg-1-4-20-x-6-phillips-drive-zinc-flat-head-machine-screw-8-count/77406/p-1444439985743-c-8933.htm?tid=-4037713725573519393&ipos=2,,
1/4”-20 Ball Mount,Slow Dolphin,2 pk,1,$8.99,$8.99,Amazon,https://www.amazon.com/gp/product/B0792V6T4P/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1,,
Speaker Wire,Amazon Basics,16 AWG Speaker,1,$9.29,$9.29,Amazon,https://www.amazon.com/gp/product/B006LW0WDQ/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,,
Shelf Bracket,Storage Shop,"6""x8""",1,$0.99,$0.99,Menards,https://www.menards.com/main/storage-organization/shelves-shelving-units/shelf-brackets-accessories/storage-shop-reg-6-x-8-shelf-bracket/2112386/p-1444421180516-c-12645.htm?tid=4074351918955703828&ipos=17,,
Thread,DMC,115 5-310,1,$1.79,$1.79,Amazon,https://www.amazon.com/DMC-115-5-310-Cotton-Thread/dp/B000XZYHQ0/ref=sr_1_1?keywords=black+thread&qid=1571754660&sr=8-1,,
Steel Rod,Sutemribor,2mmx150mm,1,$7.99,$7.99,Amazon,https://www.amazon.com/gp/product/B07B6MQK71/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,,
Spring,Neiko,50456A,1,$11.96,$11.96,Amazon,https://www.amazon.com/Neiko-50456A-Assortment-Compression-Extension/dp/B000K7M36W/ref=sr_1_6?keywords=tension+spring&qid=1571755082&sr=8-6,,
Self-Tapping Screws,Grip Fast,"#10x1""",1,$5.19,$5.19,Menards,https://www.menards.com/main/hardware/fasteners-connectors/screws/self-drilling-screws/grip-fast-reg-10-x-1-zinc-pan-head-self-drilling-screw-50-count/2331544/p-1444451956116-c-8935.htm?tid=2913095615416723928&ipos=7,,
Wood Screws,Grip Fast,"#8x1/2""",1,$0.92,$0.92,Menards,https://www.menards.com/main/hardware/fasteners-connectors/screws/wood-screws/grip-fast-reg-8-x-1-2-phillips-flat-head-wood-screw-brass-8-count/2335991/p-1444451981812-c-8940.htm?tid=-4836948453475976702&ipos=9,,
Nuts,Midwest Fastener,"1/4""-20",1,$0.29,$0.29,Menards,https://www.menards.com/main/hardware/fasteners-connectors/nuts/hex-jam-nuts/1-4-20-hex-nut-3-pcs/82357/p-1444440094062-c-8915.htm?tid=-1279214691432470961&ipos=1,,
Webcam,Wyze,v2,1,$19.99,$19.99,Wyze,https://wyze.com/?SID=31b143bbb30acbc5bde209b59b4aef76,,
Sprout Lids,Aozita,6pk,1,$7.99,$7.99,Amazon,https://www.amazon.com/gp/product/B078X3ZCXC/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,,
Jumper Wires,Elegoo,EL-CP-004,1,$6.98,$6.98,Amazon,https://www.amazon.com/gp/product/B01EV70C78/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,,
Header Pins,Honbay,40pk,1,$7.99,$7.99,Amazon,https://www.amazon.com/gp/product/B06Y4S6G29/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,,
Protoboard,Gfortun,10pk,1,$7.86,$7.86,Amazon,https://www.amazon.com/gp/product/B06XR1JWNY/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,,
,,,,,,,,,
Total,,,,,$262.24,,,,